searched_name,openalex_id,display_name,works_api_url,h_index,works_count,country_code,relevance_score,name_similarity
Akhil Arora,https://openalex.org/A5002429891,Anmol Arora,https://api.openalex.org/works?filter=author.id:A5002429891,24,203,IN,6045.913,72.72727272727273
Akihiro Kameda,https://openalex.org/A5005645734,Akihiro Kameda,https://api.openalex.org/works?filter=author.id:A5005645734,7,23,US,3739.4094,100.0
Akiko Matsuo,https://openalex.org/A5022066530,Akiko Matsuo,https://api.openalex.org/works?filter=author.id:A5022066530,32,356,JP,11889.593,100.0
Akira Matsui,https://openalex.org/A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,55,642,JP,18053.623,100.0
Akrati Saxena,https://openalex.org/A5055236010,Akrati Saxena,https://api.openalex.org/works?filter=author.id:A5055236010,12,88,NL,4389.4067,100.0
Alec Kirkley,https://openalex.org/A5058731900,Alec Kirkley,https://api.openalex.org/works?filter=author.id:A5058731900,11,60,HK,4871.742,100.0
Aleksandra Torbica,https://openalex.org/A5008132739,Aleksandra Torbica,https://api.openalex.org/works?filter=author.id:A5008132739,35,190,IT,17598.406,100.0
Alessandro Cortese,https://openalex.org/A5068647614,Alessandro Lozza,https://api.openalex.org/works?filter=author.id:A5068647614,24,90,BE,2321.6436,70.58823529411764
Alessandro Flammini,https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,61,243,US,29016.549,100.0
Alessandro Galeazzi,https://openalex.org/A5047301239,Alessandro Galeazzi,https://api.openalex.org/works?filter=author.id:A5047301239,13,52,IT,10574.515,100.0
Alessandro Lomi,https://openalex.org/A5018108132,Alessandro Lomi,https://api.openalex.org/works?filter=author.id:A5018108132,35,188,CH,13246.272,100.0
Alessandro Pluchino,https://openalex.org/A5032482559,Alessandro Pluchino,https://api.openalex.org/works?filter=author.id:A5032482559,32,218,IT,11889.348,100.0
Alessia Galdeman,https://openalex.org/A5052788698,Alessia Galdeman,https://api.openalex.org/works?filter=author.id:A5052788698,5,15,IT,1758.9352,100.0
Alessia Melegaro,https://openalex.org/A5061900944,Alessia Melegaro,https://api.openalex.org/works?filter=author.id:A5061900944,41,136,IT,16225.864,100.0
Alex Berke,https://openalex.org/A5007875216,Alex Berke,https://api.openalex.org/works?filter=author.id:A5007875216,10,37,US,2954.9106,100.0
Alex Koch,https://openalex.org/A5007830440,Alex Koch,https://api.openalex.org/works?filter=author.id:A5007830440,24,79,,6786.782,100.0
Alex Pentland,https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,121,1001,RU,50437.734,100.0
Alexander Hartland,https://openalex.org/A5010098341,Alexander W. Hartland,https://api.openalex.org/works?filter=author.id:A5010098341,5,12,GB,1569.04,92.3076923076923
Alexandra Rottenkolber,https://openalex.org/A5119600915,Alexandra Rottenkolber,https://api.openalex.org/works?filter=author.id:A5119600915,0,1,,82.430695,100.0
Alexandra Segerberg,https://openalex.org/A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,14,38,SE,15436.518,100.0
Alexandre Bovet,https://openalex.org/A5018986925,Alexandre Bovet,https://api.openalex.org/works?filter=author.id:A5018986925,15,84,,7105.3716,100.0
Alexandre Evsukoff,https://openalex.org/A5080030270,Alexandre G. Evsukoff,https://api.openalex.org/works?filter=author.id:A5080030270,20,126,BR,8999.767,92.3076923076923
Alexandria Leto,https://openalex.org/A5093992721,Alexandria Leto,https://api.openalex.org/works?filter=author.id:A5093992721,1,4,,381.35782,100.0
Alexi Quintana Mathé,https://openalex.org/A5089842725,Alexi Quintana,https://api.openalex.org/works?filter=author.id:A5089842725,13,133,US,5698.619,82.35294117647058
Ali Tafti,https://openalex.org/A5000760201,Ali Tafti,https://api.openalex.org/works?filter=author.id:A5000760201,15,62,IR,5703.0156,100.0
Aliakbar Akbaritabar,https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,12,57,DE,5474.045,100.0
Alina Herderich,https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,4,20,AT,1338.3862,100.0
Alisa Kanganis,https://openalex.org/A5117815526,Alisa Kanganis,https://api.openalex.org/works?filter=author.id:A5117815526,0,2,,104.33512,100.0
Almog Simchon,https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,10,51,IL,5946.475,100.0
Alvin Zhou,https://openalex.org/A5058939619,Alvin Zhou,https://api.openalex.org/works?filter=author.id:A5058939619,18,66,US,4897.559,100.0
Amal Labbouz,https://openalex.org/A5052432924,Amal Labbouz,https://api.openalex.org/works?filter=author.id:A5052432924,0,1,DE,97.1424,100.0
Amir Ghasemian,https://openalex.org/A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,10,26,IR,4893.802,100.0
Amir Tohidi Kalorazi,https://openalex.org/A5066951068,Amir Tohidi Kalorazi,https://api.openalex.org/works?filter=author.id:A5066951068,0,1,,141.006,100.0
AmirEmad Ghassami,https://openalex.org/A5078609284,AmirEmad Ghassami,https://api.openalex.org/works?filter=author.id:A5078609284,11,66,,5225.5425,100.0
Amit Goldenberg,https://openalex.org/A5025218700,Amit Goldenberg,https://api.openalex.org/works?filter=author.id:A5025218700,30,171,US,9285.315,100.0
Amr Hilal,https://openalex.org/A5001076668,Amr Hilal,https://api.openalex.org/works?filter=author.id:A5001076668,5,23,US,1719.4755,100.0
Amy L Murphy,https://openalex.org/A5002205400,Amy L. Murphy,https://api.openalex.org/works?filter=author.id:A5002205400,36,190,IT,11647.813,96.0
Ana Vranić,https://openalex.org/A5018089491,Ana Vranić,https://api.openalex.org/works?filter=author.id:A5018089491,3,15,PT,1381.6034,100.0
Anastasia Giachanou,https://openalex.org/A5072912426,Anastasia Giachanou,https://api.openalex.org/works?filter=author.id:A5072912426,21,80,NL,9168.169,100.0
Anastasia Golovin,https://openalex.org/A5040873440,Anastasia Golovin,https://api.openalex.org/works?filter=author.id:A5040873440,6,18,DE,2557.4722,100.0
Anastasia Menshikova,https://openalex.org/A5024468323,Anastasia Menshikova,https://api.openalex.org/works?filter=author.id:A5024468323,2,6,SE,1092.8838,100.0
Anastassia Vybornova,https://openalex.org/A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,5,23,DK,2023.0757,100.0
Anca Balietti,https://openalex.org/A5009838386,Anca Balietti,https://api.openalex.org/works?filter=author.id:A5009838386,2,19,DE,1733.7223,100.0
Anders Giovanni Møller,https://openalex.org/A5020418858,Anders Giovanni Møller,https://api.openalex.org/works?filter=author.id:A5020418858,5,14,DK,2203.5317,100.0
Anders Weile,https://openalex.org/A5111510233,Anders Weile Larsen,https://api.openalex.org/works?filter=author.id:A5111510233,1,4,,1396.9469,77.41935483870968
Anding Wang,https://openalex.org/A5041987478,Anding Wang,https://api.openalex.org/works?filter=author.id:A5041987478,36,116,CN,10708.487,100.0
Andrea Bamberg Migliano,https://openalex.org/A5076698573,Andrea Bamberg Migliano,https://api.openalex.org/works?filter=author.id:A5076698573,35,112,,23047.318,100.0
Andrea Baronchelli,https://openalex.org/A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,46,256,GB,17098.225,100.0
Andrea Baños-Ramos,https://openalex.org/A5117345727,Andrea Baños-Ramos,https://api.openalex.org/works?filter=author.id:A5117345727,0,2,ES,91.15077,100.0
Andrea Civilini,https://openalex.org/A5031499875,Andrea Civilini,https://api.openalex.org/works?filter=author.id:A5031499875,4,14,IT,2123.0999,100.0
Andrea Lo Sasso,https://openalex.org/A5102699008,Andrea Lo Sasso,https://api.openalex.org/works?filter=author.id:A5102699008,1,1,,410.5199,100.0
Andrea Rapisarda,https://openalex.org/A5059301263,Andrea Rapisarda,https://api.openalex.org/works?filter=author.id:A5059301263,36,268,IT,13201.984,100.0
Andrea W Wen-Yi,https://openalex.org/A5093402679,Andrea W Wen-Yi,https://api.openalex.org/works?filter=author.id:A5093402679,2,8,US,586.5852,100.0
Andreas Bjerre-Nielsen,https://openalex.org/A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,10,32,DK,5707.809,100.0
Andreas Flache,https://openalex.org/A5055990297,Andreas Flache,https://api.openalex.org/works?filter=author.id:A5055990297,41,235,NL,23127.012,100.0
Andreas Jungherr,https://openalex.org/A5042192372,Andreas Jungherr,https://api.openalex.org/works?filter=author.id:A5042192372,31,137,DE,11758.455,100.0
Andreas Kaltenbrunner,https://openalex.org/A5053529497,Andreas Kaltenbrunner,https://api.openalex.org/works?filter=author.id:A5053529497,27,134,ES,10294.567,100.0
Andreas Maier,https://openalex.org/A5101619735,Andreas Maier,https://api.openalex.org/works?filter=author.id:A5101619735,53,1700,DE,16270.924,100.0
Andreas Spitz,https://openalex.org/A5018128415,Andreas Spitz,https://api.openalex.org/works?filter=author.id:A5018128415,16,111,DE,5775.8794,100.0
Andres Karjus,https://openalex.org/A5064355537,Andres Karjus,https://api.openalex.org/works?filter=author.id:A5064355537,9,46,EE,3739.0764,100.0
Andrew Crooks,https://openalex.org/A5049314735,Andrew Crooks,https://api.openalex.org/works?filter=author.id:A5049314735,42,210,,13998.869,100.0
Andrew Halterman,https://openalex.org/A5021564671,Andrew Halterman,https://api.openalex.org/works?filter=author.id:A5021564671,2,3,US,2799.0864,100.0
Andrew Lippman,https://openalex.org/A5113714609,Andrew Lippman,https://api.openalex.org/works?filter=author.id:A5113714609,32,148,,13092.733,100.0
Andrew Piper,https://openalex.org/A5027417114,Andrew Piper,https://api.openalex.org/works?filter=author.id:A5027417114,14,176,CA,4479.8926,100.0
Andrew Renninger,https://openalex.org/A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,3,20,GB,1055.6078,100.0
Andrew Schauf,https://openalex.org/A5040651152,Andrew Schauf,https://api.openalex.org/works?filter=author.id:A5040651152,3,13,ID,934.94507,100.0
André Calero Valdez,https://openalex.org/A5004787389,André Calero Valdez,https://api.openalex.org/works?filter=author.id:A5004787389,26,180,DE,12283.345,100.0
André Mata,https://openalex.org/A5035729006,André Mata,https://api.openalex.org/works?filter=author.id:A5035729006,17,83,PT,5189.646,100.0
Andrés Gvirtz,https://openalex.org/A5108018053,Andrés Gvirtz,https://api.openalex.org/works?filter=author.id:A5108018053,6,20,GB,2885.9414,100.0
Ane Rahbek Vierø,https://openalex.org/A5070868747,Ane Rahbek Vierø,https://api.openalex.org/works?filter=author.id:A5070868747,3,17,DK,1592.2262,100.0
Angel Hsing-Chi Hwang,https://openalex.org/A5085100954,Angel Hsing‐Chi Hwang,https://api.openalex.org/works?filter=author.id:A5085100954,10,46,,6318.311,95.23809523809523
Angel Sánchez,https://openalex.org/A5077285926,Ángel Sánchez,https://api.openalex.org/works?filter=author.id:A5077285926,44,335,ES,10590.716,92.3076923076923
Angelina Voggenreiter,https://openalex.org/A5033400036,Angelina Voggenreiter,https://api.openalex.org/works?filter=author.id:A5033400036,2,5,DE,906.49646,100.0
Angélica Sousa da Mata,https://openalex.org/A5056123843,Angélica S. Mata,https://api.openalex.org/works?filter=author.id:A5056123843,12,37,BR,4103.4863,78.94736842105263
Aniko Biro,https://openalex.org/A5021991324,Anikó Bíró,https://api.openalex.org/works?filter=author.id:A5021991324,15,67,HU,4295.1846,70.0
Anita Keshmirian,https://openalex.org/A5002117379,Anita Keshmirian,https://api.openalex.org/works?filter=author.id:A5002117379,3,7,,1716.7516,100.0
Anjalie Field,https://openalex.org/A5022479813,Anjalie Field,https://api.openalex.org/works?filter=author.id:A5022479813,29,131,US,7204.21,100.0
Anku Rani,https://openalex.org/A5110627453,Anku Rani,https://api.openalex.org/works?filter=author.id:A5110627453,5,21,,2394.7256,100.0
Ann Nowe,https://openalex.org/A5064553018,Ann Nowé,https://api.openalex.org/works?filter=author.id:A5064553018,42,619,BE,14109.224,87.5
Anna Beers,https://openalex.org/A5003185083,Andrew Beers,https://api.openalex.org/works?filter=author.id:A5003185083,22,80,US,5529.709,72.72727272727273
Anna De Simoni,https://openalex.org/A5091770864,Anna De Simoni,https://api.openalex.org/works?filter=author.id:A5091770864,24,101,GB,7864.8013,100.0
Anna Sara Ligeti,https://openalex.org/A5061454360,Anna Sára Ligeti,https://api.openalex.org/works?filter=author.id:A5061454360,3,14,HU,1598.8567,93.75
Anna Seo Gyeong Choi,https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,3,15,US,2412.2263,100.0
Anna Thoma,https://openalex.org/A5031351421,Anna Thoma,https://api.openalex.org/works?filter=author.id:A5031351421,1,1,,3933.5752,100.0
Anna-Carolina Haensch,https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,4,48,DE,2867.2732,95.23809523809523
Annabella Sakunkoo,https://openalex.org/A5109819792,Annabella Sakunkoo,https://api.openalex.org/works?filter=author.id:A5109819792,0,5,US,115.57635,100.0
Anne C Kroon,https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,16,45,NL,5216.7773,96.0
Anne Driscoll,https://openalex.org/A5050026032,Anne K. Driscoll,https://api.openalex.org/works?filter=author.id:A5050026032,35,77,,10514.735,89.65517241379311
Anne Maass,https://openalex.org/A5037013778,Anne Maass,https://api.openalex.org/works?filter=author.id:A5037013778,53,202,AE,16232.159,100.0
Anne-Marie Nussberger,https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,11,34,GB,4752.9165,92.6829268292683
Annett Heft,https://openalex.org/A5024066633,Annett Heft,https://api.openalex.org/works?filter=author.id:A5024066633,16,61,DE,5620.9165,100.0
Annina Claesson,https://openalex.org/A5074509683,Annina Claesson,https://api.openalex.org/works?filter=author.id:A5074509683,3,10,,1472.944,100.0
Anthony Olejniczak,https://openalex.org/A5070489486,Anthony J. Olejniczak,https://api.openalex.org/works?filter=author.id:A5070489486,32,91,,8676.973,92.3076923076923
Anthony Paik,https://openalex.org/A5090765519,Anthony Paik,https://api.openalex.org/works?filter=author.id:A5090765519,21,71,US,15797.337,100.0
Antoine Vendeville,https://openalex.org/A5015651100,Antoine Vendeville,https://api.openalex.org/works?filter=author.id:A5015651100,4,21,FR,1487.4229,100.0
Anton Gollwitzer,https://openalex.org/A5031295007,Anton Gollwitzer,https://api.openalex.org/works?filter=author.id:A5031295007,19,59,NO,6632.047,100.0
Antonina Zhiteneva,https://openalex.org/A5120126331,Antonina Zhiteneva,https://api.openalex.org/works?filter=author.id:A5120126331,0,2,,101.00461,100.0
Aparna Ananthasubramaniam,https://openalex.org/A5053835888,Aparna Ananthasubramaniam,https://api.openalex.org/works?filter=author.id:A5053835888,3,18,US,2235.7234,100.0
Aparna Balagopalan,https://openalex.org/A5010008842,Aparna Balagopalan,https://api.openalex.org/works?filter=author.id:A5010008842,10,35,US,4251.6636,100.0
Arda Astam,https://openalex.org/A5119402064,Arda Astam,https://api.openalex.org/works?filter=author.id:A5119402064,0,1,DE,100.36983,100.0
Arianna Pera,https://openalex.org/A5040192490,Arianna Pera,https://api.openalex.org/works?filter=author.id:A5040192490,4,13,DK,1472.678,100.0
Ariel Flint Ashery,https://openalex.org/A5114285271,Ariel Flint Ashery,https://api.openalex.org/works?filter=author.id:A5114285271,1,2,US,1588.7338,100.0
Ariella Kristal,https://openalex.org/A5039705639,Ariella Kristal,https://api.openalex.org/works?filter=author.id:A5039705639,6,37,US,5316.176,100.0
Arkadiusz Lipiecki,https://openalex.org/A5080988332,Arkadiusz Lipiecki,https://api.openalex.org/works?filter=author.id:A5080988332,3,14,,1502.0931,100.0
Armin Pournaki,https://openalex.org/A5080502439,Armin Pournaki,https://api.openalex.org/works?filter=author.id:A5080502439,4,26,FR,1913.4529,100.0
Arnout van de Rijt,https://openalex.org/A5081982677,Arnout van de Rijt,https://api.openalex.org/works?filter=author.id:A5081982677,23,107,IT,16602.418,100.0
Arti Thakur,https://openalex.org/A5113328275,A.R. Thakur,https://api.openalex.org/works?filter=author.id:A5113328275,9,22,IN,2422.2056,81.81818181818181
Ashley Whillans,https://openalex.org/A5031735105,Ashley V. Whillans,https://api.openalex.org/works?filter=author.id:A5031735105,29,142,US,13666.198,90.9090909090909
Ashley Young,https://openalex.org/A5072015577,Ashley D. Young,https://api.openalex.org/works?filter=author.id:A5072015577,9,11,AU,5290.899,88.88888888888889
Astha Verma,https://openalex.org/A5101618291,Astha Verma,https://api.openalex.org/works?filter=author.id:A5101618291,11,55,IN,3648.7832,100.0
Asya Zhelyazkova,https://openalex.org/A5075866737,Asya Zhelyazkova,https://api.openalex.org/works?filter=author.id:A5075866737,15,40,NL,5599.403,100.0
Atushi Ishikawa,https://openalex.org/A5001097474,Atushi Ishikawa,https://api.openalex.org/works?filter=author.id:A5001097474,12,103,,4534.823,100.0
August Lohse,https://openalex.org/A5059152087,August Lohse,https://api.openalex.org/works?filter=author.id:A5059152087,2,3,,716.0181,100.0
Austin van Loon,https://openalex.org/A5070302861,Austin van Loon,https://api.openalex.org/works?filter=author.id:A5070302861,8,31,US,6175.0195,100.0
Aviral Chawla,https://openalex.org/A5034182754,A. Chawla,https://api.openalex.org/works?filter=author.id:A5034182754,6,16,GB,3982.6733,72.72727272727273
Axel Alness Borg,https://openalex.org/A5124876464,Axel Alness Borg,https://api.openalex.org/works?filter=author.id:A5124876464,0,1,SE,129.34882,100.0
Axel Bruns,https://openalex.org/A5025254950,Axel Bruns,https://api.openalex.org/works?filter=author.id:A5025254950,58,526,AU,20825.754,100.0
Ayan-Yue Gupta,https://openalex.org/A5058457102,Ayan-Yue Gupta,https://api.openalex.org/works?filter=author.id:A5058457102,2,22,GB,1557.6886,100.0
Ayush Kumar,https://openalex.org/A5028360618,Ayush Kumar,https://api.openalex.org/works?filter=author.id:A5028360618,34,158,GB,10413.576,100.0
Azadeh Alavi,https://openalex.org/A5078604354,Afsáneh Alavi,https://api.openalex.org/works?filter=author.id:A5078604354,50,380,US,11594.859,72.0
Azza Bouleimen,https://openalex.org/A5076789096,Azza Bouleimen,https://api.openalex.org/works?filter=author.id:A5076789096,1,8,CH,594.61566,100.0
Babak Hemmatian,https://openalex.org/A5043382223,Babak Hemmatian,https://api.openalex.org/works?filter=author.id:A5043382223,6,32,US,2083.7568,100.0
Baird Howland,https://openalex.org/A5033543507,Baird Howland,https://api.openalex.org/works?filter=author.id:A5033543507,5,6,US,4489.812,100.0
Balázs Lengyel,https://openalex.org/A5005839111,Balázs Lengyel,https://api.openalex.org/works?filter=author.id:A5005839111,22,173,HU,7475.931,100.0
Bangzhao Shu,https://openalex.org/A5110786764,Bangzhao Shu,https://api.openalex.org/works?filter=author.id:A5110786764,1,7,,822.7758,100.0
Bao Tran Truong,https://openalex.org/A5090414289,Bao Tran Truong,https://api.openalex.org/works?filter=author.id:A5090414289,7,18,,3323.2512,100.0
Barbara Kamińska,https://openalex.org/A5035237325,Barbara Kamińska,https://api.openalex.org/works?filter=author.id:A5035237325,19,86,,5310.3906,100.0
Bastiaan Bruinsma,https://openalex.org/A5101490440,Bastiaan Bruinsma,https://api.openalex.org/works?filter=author.id:A5101490440,8,25,US,4753.758,100.0
Bedoor AlShebli,https://openalex.org/A5036868218,Bedoor AlShebli,https://api.openalex.org/works?filter=author.id:A5036868218,14,37,AE,10108.486,100.0
Belinda Wade,https://openalex.org/A5038850161,Belinda Wade,https://api.openalex.org/works?filter=author.id:A5038850161,12,40,AU,3201.22,100.0
Bella Struminskaya,https://openalex.org/A5059953820,Bella Struminskaya,https://api.openalex.org/works?filter=author.id:A5059953820,14,73,NL,8105.5024,100.0
Ben Dennes,https://openalex.org/A5074377249,Ben Dennes,https://api.openalex.org/works?filter=author.id:A5074377249,1,2,GB,569.21466,100.0
Ben Lasse Wolf,https://openalex.org/A5011976528,Ben Lasse Wolf,https://api.openalex.org/works?filter=author.id:A5011976528,0,3,DE,97.56325,100.0
Bendegúz Váradi,https://openalex.org/A5092353461,Bendegúz Váradi,https://api.openalex.org/works?filter=author.id:A5092353461,1,2,HU,426.23022,100.0
Benjamin Frank Maier,https://openalex.org/A5042318907,Benjamin F. Maier,https://api.openalex.org/works?filter=author.id:A5042318907,13,51,DK,6228.3525,86.48648648648648
Benjamin Harack,https://openalex.org/A5023671549,Benjamin Harack,https://api.openalex.org/works?filter=author.id:A5023671549,4,10,CA,5032.8955,100.0
Benjamin S. Manning,https://openalex.org/A5012908746,Benjamin Manning,https://api.openalex.org/works?filter=author.id:A5012908746,6,13,US,1425.8157,91.42857142857143
Beom Jun Kim,https://openalex.org/A5101866798,Beom Jun Kim,https://api.openalex.org/works?filter=author.id:A5101866798,31,235,KR,16296.841,100.0
Bernhard Haslhofer,https://openalex.org/A5078932059,Bernhard Haslhofer,https://api.openalex.org/works?filter=author.id:A5078932059,25,147,AT,9327.461,100.0
Bernice Pescosolido,https://openalex.org/A5007941468,Bernice A. Pescosolido,https://api.openalex.org/works?filter=author.id:A5007941468,65,328,US,32760.977,92.6829268292683
Betul Ozturan,https://openalex.org/A5115534702,Betül Özturan,https://api.openalex.org/works?filter=author.id:A5115534702,0,2,US,84.38748,84.61538461538461
Bijin Joseph,https://openalex.org/A5022729086,Bijin Joseph,https://api.openalex.org/works?filter=author.id:A5022729086,2,5,IN,978.296,100.0
Binglu Wang,https://openalex.org/A5043220498,Binglu Wang,https://api.openalex.org/works?filter=author.id:A5043220498,20,100,CN,5802.0015,100.0
Björn Komander,https://openalex.org/A5099860123,Björn Komander,https://api.openalex.org/works?filter=author.id:A5099860123,1,1,,405.26474,100.0
Björn Lindström,https://openalex.org/A5063460972,Björn Lindström,https://api.openalex.org/works?filter=author.id:A5063460972,21,61,SE,7210.8936,100.0
Björn Pelzer,https://openalex.org/A5044522890,Björn Pelzer,https://api.openalex.org/works?filter=author.id:A5044522890,11,34,SE,3423.377,100.0
Björn Ross,https://openalex.org/A5023817571,Björn Roß,https://api.openalex.org/works?filter=author.id:A5023817571,20,79,GB,6576.0635,84.21052631578947
Blas Kolic,https://openalex.org/A5086259064,Blas Kolic,https://api.openalex.org/works?filter=author.id:A5086259064,2,8,ES,739.63904,100.0
Bogang Jun,https://openalex.org/A5007458424,Bogang Jun,https://api.openalex.org/works?filter=author.id:A5007458424,10,46,KR,4171.748,100.0
Bojan Evkoski,https://openalex.org/A5038050687,Bojan Evkoski,https://api.openalex.org/works?filter=author.id:A5038050687,3,18,AT,2201.0989,100.0
Bowen Yi,https://openalex.org/A5009398155,Bowen Yi,https://api.openalex.org/works?filter=author.id:A5009398155,29,80,CN,6744.1094,100.0
Brahmani Nutakki,https://openalex.org/A5044851119,Brahmani Nutakki,https://api.openalex.org/works?filter=author.id:A5044851119,3,6,DE,1272.4233,100.0
Bramantyo Ibrahim Supriyatno,https://openalex.org/A5116004343,Bramantyo Ibrahim Supriyatno,https://api.openalex.org/works?filter=author.id:A5116004343,2,3,DE,1057.869,100.0
Brandon M. Stewart,https://openalex.org/A5113226689,Brandon Stewart,https://api.openalex.org/works?filter=author.id:A5113226689,31,305,US,15289.324,90.9090909090909
Brendan O'Connor,https://openalex.org/A5074307166,Brendan O’Connor,https://api.openalex.org/works?filter=author.id:A5074307166,37,138,,11699.467,93.75
Brennan Klein,https://openalex.org/A5034550396,Brennan Klein,https://api.openalex.org/works?filter=author.id:A5034550396,16,70,US,10344.416,100.0
Brian Uzzi,https://openalex.org/A5015711710,Brian Uzzi,https://api.openalex.org/works?filter=author.id:A5015711710,51,191,US,38302.57,100.0
Bruce Lambert,https://openalex.org/A5033897197,Bruce L. Lambert,https://api.openalex.org/works?filter=author.id:A5033897197,33,156,US,8045.787,89.65517241379311
Bruno Damásio,https://openalex.org/A5002552451,Bruno Figueiredo Damásio,https://api.openalex.org/works?filter=author.id:A5002552451,23,98,BR,8358.459,70.27027027027026
Bruno Gabriel Salvador Casara,https://openalex.org/A5070806741,Bruno Gabriel Salvador Casara,https://api.openalex.org/works?filter=author.id:A5070806741,11,38,AE,6699.2847,100.0
Bruno Lepri,https://openalex.org/A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,46,354,IT,17061.986,100.0
Bruno T. Sugano,https://openalex.org/A5116143840,Bruno Toshio SUGANO,https://api.openalex.org/works?filter=author.id:A5116143840,0,2,,67.02763,82.35294117647058
Bufan Gao,https://openalex.org/A5090110425,Bufan Gao,https://api.openalex.org/works?filter=author.id:A5090110425,1,9,CN,609.23096,100.0
Burint Bevis,https://openalex.org/A5100281412,Burint Bevis,https://api.openalex.org/works?filter=author.id:A5100281412,0,2,,110.80103,100.0
Byunghwee Lee,https://openalex.org/A5039707142,Byunghwee Lee,https://api.openalex.org/works?filter=author.id:A5039707142,4,16,US,1863.8961,100.0
Byungkyu Lee,https://openalex.org/A5066089123,Byungkyu Lee,https://api.openalex.org/works?filter=author.id:A5066089123,14,190,US,5065.285,100.0
Callie Clark,https://openalex.org/A5081342564,Callie Clark,https://api.openalex.org/works?filter=author.id:A5081342564,4,8,,2637.6516,100.0
Calvin Isch,https://openalex.org/A5045607021,Calvin Isch,https://api.openalex.org/works?filter=author.id:A5045607021,5,23,US,1672.5413,100.0
